sensor_id,description,dataType,location,type,unit,timeZone,publicAccess,component,componentType,componentDesc,componentPublicAccess,info_sample_rate_(min),info_min_val,info_max_val,info_order_id,info_region,info_basin,info_x_coord_utm_etrs89,info_y_coord_utm_etrs89,info_river_district,info_state,info_province,info_river,info_sub_basin,info_drained_basin_surface(km2),info_municipality,info_tipology,info_responsible_entity
080060-001-ANA01,River level,NUMBER,41.592783082 2.542640569,19,cm,CET,True,080060-001,Capacity,Arenys de Munt,True,15.0,0.0,0.0,RM-05,MARESME,RIERES DEL MARESME,461882,4604666,ACA,In service,BARCELONA,RIERA ARENYS,RIERES DEL MARESME,11.8,ARENYS DE MUNT,,
080180-005-ANA001,Canal discharge,NUMBER,41.859536325 1.880218115,35,l/s,CET,True,080180-005,Capacity,Balsareny,True,10.0,0.0,0.0,LB-15,BAGES,EL LLOBREGAT,407058,4634787,ACA,In service,BARCELONA,RIU LLOBREGAT,LLOBREGAT MIG,1022.26,BALSARENY,,
080180-005-ANA002,Canal discharge,NUMBER,41.859536325 1.880218115,35,l/s,CET,True,080180-005,Capacity,Balsareny,True,5.0,0.0,0.0,LB-15,BAGES,EL LLOBREGAT,407058,4634787,ACA,In service,BARCELONA,RIU LLOBREGAT,LLOBREGAT MIG,1022.26,BALSARENY,,
081252-001-ANA02,River level,NUMBER,41.48783369 2.186391629,19,cm,CET,True,081252-001,Capacity,Montcada i Reixac (el Ripoll),True,5.0,0.0,0.0,BE-15,VALLÈS OCCIDENTAL,EL BESÒS,432081,4593233,ACA,In service,BARCELONA,RIU RIPOLL,EL RIPOLL,220.55,MONTCADA I REIXAC,,
171501-001-ANA001,River level,NUMBER,41.897979761 2.818842216,19,cm,CET,True,171501-001_1,Capacity,Campllong (la Gotarra),True,5.0,0.0,10.0,TB-25,GIRONÈS,EL TER,484973,4638465,ACA,In service,GIRONA,RIERA GOTARRA,BAIX TER,100.43,CAMPLLONG,,
171501-001-ANA002,River level,NUMBER,41.898318267 2.816478373,19,cm,CET,True,171501-001,Capacity,Riudellots de la Selva (Onyar),True,5.0,0.0,10.0,TB-30,SELVA,EL TER,484777,4638503,ACA,In service,GIRONA,RIU ONYAR,BAIX TER,117.02,RIUDELLOTS DE LA SELVA,,
171637-001-ANA01,River level,NUMBER,42.015521388 2.725462811,19,cm,CET,True,171637-001,Capacity,Sant Gregori (Ginestar de Llémena),True,15.0,0.0,0.0,TB-15,GIRONÈS,EL TER,477269,4651536,ACA,In service,GIRONA,RIERA DE LLEMANA,BAIX TER,77.19,SANT GREGORI,,
171674-006-ANA004,River level,NUMBER,42.221664291 2.243255294,19,cm,CET,True,171674-006,Capacity,Sant Joan de les Abadesses,True,,,,TA-05,RIPOLLÈS,EL TER,437546,4674665,ACA,Limited functionality,GIRONA,RIU TER,ALT TER,301.02,SANT JOAN DE LES ABADESSES,,
171707-001-ANA010,Canal discharge,NUMBER,42.172192162 2.194229581,35,l/s,CET,True,171707-001,Capacity,Ripoll,True,5.0,0.0,20.0,TA-10,RIPOLLÈS,EL TER,433448,4669209,ACA,In service,GIRONA,RIU TER,ALT TER,736.91,RIPOLL,,
171714-001-ANA01,River level,NUMBER,42.316501288 2.78190903,19,cm,CET,True,171714-001,Capacity,Sant Llorenç de la Muga,True,15.0,0.0,10.0,MA-05,ALT EMPORDÀ,LA MUGA,482028,4684941,ACA,In service,GIRONA,RIU MUGA,LA MUGA,109.35,SANT LLORENÇ DE LA MUGA,,
