sensor_id,description,dataType,location,type,unit,timeZone,publicAccess,component,componentType,componentDesc,componentPublicAccess,info_sample_rate_(min),info_min_val,info_max_val,info_region,info_province,info_aquifer,info_water_mass,info_river_district,info_basin,info_sub_basin,info_municipality,info_x_coord_utm_etrs89,info_y_coord_utm_etrs89,info_state
081108-002-ANA03,Absolute piezometric level,NUMBER,41.65008185 2.765317124,46,masl,CET,True,081108-002,piezometre,B-2-A Malgrat De Mar,True,,,,Maresme,Barcelona,Aqüífer fluviodeltaic profund de la baixa Tordera,Al·luvials de la baixa Tordera i delta,ACA,RIERES DEL MARESME,RIERES DEL MARESME,MALGRAT DE MAR,480458.0,4610953.0,In maintenance
080484-001-ANA01,Absolute piezometric level,NUMBER,41.52894668 1.629932906,46,masl,CET,True,080484-001,piezometre,Carme - Cementiri,True,,,,Anoia,Barcelona,Aqüífer de les calcàries paleògenes i mesozoiques de Carme-Capellades (Anoia),Gaià - Anoia,ACA,EL LLOBREGAT,l'Anoia,CARME,385701.0,4598384.0,In service
081555-001-ANA01,Absolute piezometric level,NUMBER,41.67405922 2.75676046,46,masl,CET,True,081555-001,piezometre,S-32 - Palafolls,True,,,,Maresme,Barcelona,Aqüífer fluviodeltaic profund de la baixa Tordera,Al·luvials de la baixa Tordera i delta,ACA,RIERES DEL MARESME,RIERES DEL MARESME,PALAFOLLS,479753.0,4613617.0,In service
080446-001-ANA01,Absolute piezometric level,NUMBER,41.52695585 1.683887748,46,masl,CET,True,080446-001,piezometre,S-6 Poliesportiu - Capellades,True,,,,Anoia,Barcelona,Aqüífer de les calcàries paleògenes i mesozoiques de Carme-Capellades (Anoia),Gaià - Anoia,ACA,EL LLOBREGAT,l'Anoia,CAPELLADES,390199.0,4598094.0,In service
082858-003-ANA02,Absolute piezometric level,NUMBER,42.04939325 2.264480752,46,masl,CET,True,082858-003,piezometre,Sd63 - Torelló,True,,,,Osona,Barcelona,Aqüífer de les margues i llims de la plana de Vic,Plana de Vic - Collsacabra,ACA,EL TER,el Ges,TORELLÓ,439133.0,4655522.0,In service
081108-003-ANA03,Absolute piezometric level,NUMBER,41.66338263 2.763923533,46,masl,CET,True,081108-003,piezometre,Sondeig Blanes (Malgrat De Mar),True,,,,Maresme,Barcelona,Aqüífer fluviodeltaic profund de la baixa Tordera,Al·luvials de la baixa Tordera i delta,ACA,LA TORDERA,LA TORDERA,MALGRAT DE MAR,480346.0,4612431.0,In service
170237-002-ANA02,Absolute piezometric level,NUMBER,41.663304 2.774097648,46,masl,CET,True,170237-002,piezometre,Pou Aca 2002.05.01,True,,,,Selva,Girona,Aqüífer fluviodeltaic profund de la baixa Tordera,Al·luvials de la baixa Tordera i delta,ACA,RIERES DEL CAP DE BEGUR-BLANES,N/D,BLANES,481193.0,4612419.0,In service
170237-003-ANA02,Absolute piezometric level,NUMBER,41.66330376 2.773977532,46,masl,CET,True,170237-003,piezometre,Pou Aca 2002.05.02,True,,,,Selva,Girona,Aquefer fluviodeltaic profund de la baixa Tordera,Al·luvials de la baixa Tordera i delta,ACA,RIERES DEL CAP DE BEGUR-BLANES,N/D,BLANES,481183.0,4612419.0,In service
CALC001715,Absolute piezometric level,NUMBER,40.67278132 0.67097887,46,masl,CET,True,430141-015,piezometre,Riade 6 Amposta-S,True,,,,Montsià,Tarragona,Aqüífer fluviodeltaic del delta de l'Ebre,Delta de l'Ebre,CHE,L'EBRE,L'EBRE,AMPOSTA,303152.0,4505042.0,In service
CALC001716,Absolute piezometric level,NUMBER,40.70957933 0.684054988,46,masl,CET,True,439023-007,piezometre,Riade 7 - Balada-S,True,,,,Montsià,Tarragona,Aqüífer fluviodeltaic del delta de l'Ebre,Delta de l'Ebre,CHE,L'EBRE,L'EBRE,AMPOSTA,304365.0,4509098.0,In service
CALC001718,Absolute piezometric level,NUMBER,40.6664205 0.603595208,46,masl,CET,True,430141-017,piezometre,Riade 12 B - Ullals De Baltasar-S,True,,,,Montsià,Tarragona,Aqüífer fluviodeltaic del delta de l'Ebre,Delta de l'Ebre,CHE,L'EBRE,L'EBRE,AMPOSTA,297437.0,4504490.0,In service
CALC001720,Absolute piezometric level,NUMBER,40.72027992 0.659485044,46,masl,CET,True,439018-016,piezometre,Riade 8 - Deltebre-S,True,,,,Baix Ebre,Tarragona,Aqüífer fluviodeltaic del delta de l'Ebre,Delta de l'Ebre,CHE,L'EBRE,L'EBRE,DELTEBRE,302321.0,4510341.0,In service
CALC001721,Absolute piezometric level,NUMBER,40.73410063 0.781358902,46,masl,CET,True,439018-017,piezometre,Riade 10 - La Estella-S,True,,,,Baix Ebre,Tarragona,Aqüífer fluviodeltaic del delta de l'Ebre,Delta de l'Ebre,CHE,L'EBRE,L'EBRE,DELTEBRE,312654.0,4511608.0,In service
CALC001722,Absolute piezometric level,NUMBER,40.74313449 0.810074463,46,masl,CET,True,439018-018,piezometre,Riade 11 - Riumar-S,True,,,,Baix Ebre,Tarragona,Aqüífer fluviodeltaic del delta de l'Ebre,Delta de l'Ebre,CHE,L'EBRE,L'EBRE,DELTEBRE,315104.0,4512550.0,In service
CALC001724,Absolute piezometric level,NUMBER,40.76805687 0.733052271,46,masl,CET,True,439018-020,piezometre,Riade 17 - Illa De Mar-P,True,,,,Baix Ebre,Tarragona,Aqüífer fluviodeltaic del delta de l'Ebre,N/D - Subterrània,CHE,L'EBRE,L'EBRE,DELTEBRE,308672.0,4515482.0,In service
CALC001726,Absolute piezometric level,NUMBER,40.69006011 0.783128643,46,masl,CET,True,439023-005,piezometre,Riade 3 - Finca Migjorn-S,True,,,,Montsià,Tarragona,Aqüífer fluviodeltaic del delta de l'Ebre,Delta de l'Ebre,CHE,L'EBRE,L'EBRE,SANT JAUME D'ENVEJA,312680.0,4506715.0,In service
