,081108-002-ANA03,080484-001-ANA01,081555-001-ANA01,080446-001-ANA01,082858-003-ANA02,081108-003-ANA03,170237-002-ANA02,170237-003-ANA02,CALC001715,CALC001716,CALC001718,CALC001720,CALC001721,CALC001722,CALC001724,CALC001726,CALC001727,CALC001728,CALC001714,CALC001730,CALC001731,171910-001-ANA004,170622-001-ANA03,171997-003-ANA03,171061-001-ANA01,080018-006-ANA01,080018-007-ANA01,081691-009-ANA01,080193-013-ANA01,081691-009-ANA02,081691-009-ANA03,080193-013-ANA02,080193-013-ANA03,080018-006-ANA02,080018-007-ANA02,080018-006-ANA03,080018-007-ANA03,170470-004-ANA01,170470-004-ANA02,170470-004-ANA03,430923-001-ANA01,430923-002-ANA01,431233-001-ANA01,431093-001-ANA01,430923-001-ANA02,430923-002-ANA02,431233-001-ANA02,431093-001-ANA02,430923-001-ANA03,430923-002-ANA03,431233-001-ANA03,431093-001-ANA03,171061-001-ANA03,170926-001-ANA02,171404-001-ANA02,170926-001-ANA03,171404-001-ANA03,170926-001-ANA01,171404-001-ANA01,431652-002-ANA02,081108-006-ANA01,081108-006-ANA03,081108-005-ANA03,081108-005-ANA02,081108-006-ANA02,431652-002-ANA01,081108-005-ANA01,080193-011-ANA01,080193-008-ANA01,080193-008-ANA02,081691-007-ANA02,081691-007-ANA01,080193-010-ANA01,080193-010-ANA02,080193-009-ANA01,080193-009-ANA02,080193-009-ANA03,081691-004-ANA01,081691-004-ANA02,080193-011-ANA03,080193-011-ANA02,081691-006-ANA01,081691-006-ANA02,081691-002-ANA02,081691-002-ANA03,081691-002-ANA01,081691-005-ANA01,081691-006-ANA03,081691-005-ANA02,081691-007-ANA03,080193-008-ANA03,080193-010-ANA03,081691-004-ANA03,081691-005-ANA03
2025-04-08 18:00:00,-0.1384,331.2586,5.236,,501.9134,2.7172,1.8802,1.5262,,,,,,,,,,,,,,7.333,2.292,-2.428,16.2078,47.8132,53.89,-3.746,-2.34,18.06,8730.0,19.32,896.0,15.6,13.592,1390.0,0.0,-1.18,15.936,1504.0,3.492,10.682,5.51,40.814,18.19,17.87,20.37,17.446,620.0,808.0,5260.0,1350.0,16.42,17.39,17.87,2514.0,5790.0,1.516,1.332,17.15,15.4,850.0,620.0,-1.59,-1.306,233.3378,16.3,21.582,19.22,2990.0,,,21.098,2240.0,20.76,51930.0,-0.196,19.646,2440.0,-1.252,4596.0,19.232,19652.0,1770.0,17.0,-5.9308,,-3.222,,,-2.598,-2.208,-3.21,
2025-04-08 12:00:00,-0.136,331.2516,5.2994,,501.9122,2.5552,1.8836,1.5282,,,,,,,,,,,,,,7.352,2.296,-2.422,16.218,47.8072,53.894,-3.754,-2.342,18.06,8730.0,19.32,898.0,15.6,13.608,1390.0,0.0,-1.18,15.93,1500.0,3.502,10.738,5.52,40.764,18.19,17.87,20.37,17.438,614.0,806.0,5262.0,1348.0,16.42,17.39,17.868,2518.0,5816.0,1.58,1.342,17.15,15.4,850.0,620.0,-1.59,-1.318,233.3364,16.3,21.586,19.22,2990.0,11310.0,18.18,21.096,2242.0,20.76,51930.0,-0.192,19.65,2426.0,-1.234,4676.0,19.166,19768.0,1770.0,17.0,-5.9588,,-3.272,,-3.22,-2.568,-2.162,-3.206,
2025-04-08 06:00:00,-0.1296,331.2284,5.2078,,501.9022,2.5132,1.8872,1.5292,,,,,,,,,,,,,,7.3166,2.288,-2.418,16.1812,47.8512,53.9,-3.738,-2.348,18.06,8730.0,19.32,900.0,15.62,13.584,1390.0,0.0,-1.18,15.93,1500.0,3.49,11.02,5.518,40.832,18.19,17.87,20.37,17.43,610.0,772.0,5258.0,1350.0,16.42,17.39,17.87,2522.0,5836.0,1.566,1.338,17.15,15.4,868.0,616.0,-1.59,-1.302,233.3344,16.3,21.592,19.22,2980.0,11310.0,18.18,21.114,2240.0,20.76,51930.0,-0.194,19.656,2402.0,-1.282,4834.0,19.194,19814.0,1770.0,17.0,-5.982,,-3.232,,-3.254,-2.718,-2.206,-3.252,
2025-04-08 00:00:00,-0.1218,331.143,5.365,,501.9074,2.655,1.8924,1.5324,,,,,,,,,,,,,,7.3074,2.284,-2.402,16.221,47.8464,53.9,-3.722,-2.362,18.06,8730.0,19.32,896.0,15.6,13.596,1390.0,0.0,-1.172,15.922,1520.0,3.5,11.114,5.526,40.84,18.19,17.87,20.37,17.43,610.0,760.0,5270.0,1350.0,16.42,17.386,17.87,2534.0,5870.0,1.47,1.372,17.15,15.4,854.0,610.0,-1.59,-1.292,233.3332,16.3,21.6,19.22,2980.0,11310.0,18.182,21.102,2240.0,20.76,51930.0,-0.19,19.676,2448.0,-1.306,4770.0,19.216,19818.0,1770.0,17.0,-6.012,,-3.19,,-3.272,-2.686,-2.282,-3.21,
2025-04-07 18:00:00,-0.119,331.1846,5.3396,,501.9046,,1.889,1.5346,,,,,,,,,,,,,,7.338,,-2.394,,,,-3.838,,18.06,8730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.22,2980.0,,,,,,,,19.632,2456.0,,,19.164,19592.0,,,,,-3.378,,,-2.73,,-3.328,
2025-04-07 12:00:00,-0.112,331.1968,5.0768,,501.8966,2.819,1.9006,1.5392,,,,,,,,,,,,,,7.367,2.29,-2.376,16.2665,47.967,53.92,-3.838,-2.39,18.06,8730.0,19.32,900.0,15.6,13.55,1400.0,0.0,-1.16,15.91,1520.0,,11.25,5.55,40.87,,17.87,20.37,17.4,,760.0,5280.0,1350.0,16.42,17.38,17.868,2560.0,5968.0,1.49,1.352,17.15,15.4,840.0,620.0,-1.58,-1.25,233.325,16.3,21.6,19.22,2980.0,11310.0,18.19,21.12,2250.0,20.77,51920.0,-0.17,19.644,2458.0,-1.23,4660.0,19.248,19070.0,1780.0,17.0,-6.105,19.86,-3.308,1420.0,-3.205,-2.568,-2.17,-3.27,-2.69
2025-04-07 06:00:00,-0.1088,331.1908,5.2038,,501.9104,2.8206,1.908,1.5424,,,,,,,,,,,,,,7.3716,2.29,-2.374,16.2544,47.9688,53.92,-3.804,-2.39,18.06,8730.0,19.32,900.0,15.6,13.56,1400.0,0.0,-1.16,15.91,1520.0,,11.252,5.548,40.858,,17.87,20.37,17.408,,760.0,5286.0,1350.0,16.42,17.386,17.868,2562.0,5968.0,1.462,1.352,17.15,15.4,824.0,618.0,-1.58,-1.258,233.322,16.3,21.604,19.22,2980.0,11310.0,18.188,21.092,2242.0,20.77,51920.0,-0.166,19.622,2456.0,-1.238,4716.0,19.252,18774.0,1780.0,17.0,-6.1104,19.844,-3.282,1420.0,-3.214,-2.574,-2.178,-3.294,-2.694
2025-04-07 00:00:00,-0.0972,331.0774,5.4246,,501.8998,2.8206,1.911,1.5472,,,,,,,,,,,,,,7.313,2.29,-2.43,16.242,47.9688,53.92,-3.688,-2.39,18.06,8730.0,19.32,900.0,15.6,13.56,1400.0,0.0,-1.16,15.91,1520.0,,11.252,5.548,40.858,,17.87,20.37,17.408,,760.0,5286.0,1350.0,16.42,17.386,17.868,2562.0,5984.0,1.462,1.378,17.15,15.4,824.0,618.0,-1.58,-1.258,233.322,16.3,21.604,19.22,2980.0,11310.0,18.188,21.092,2242.0,20.77,51920.0,-0.166,19.666,2450.0,-1.238,4716.0,19.26,18818.0,1780.0,17.0,-6.1104,19.844,-3.172,1420.0,-3.228,-2.554,-2.178,-3.168,-2.694
2025-04-06 18:00:00,-0.091,331.0638,5.2196,,501.9128,2.6216,1.9068,1.5518,,,,,,,,,,,,,,7.34,2.29,-2.352,16.2016,47.9666,53.92,-3.732,-2.404,18.06,8730.0,19.32,900.0,15.6,13.558,1400.0,0.0,-1.16,15.91,1520.0,,11.254,5.538,40.832,,17.87,20.37,17.406,,760.0,5272.0,1350.0,16.424,17.384,,2560.0,,1.488,,17.15,15.4,800.0,616.0,-1.576,-1.286,233.3184,16.3,21.61,19.22,2980.0,,,21.102,2242.0,20.77,51920.0,-0.186,19.668,2444.0,-1.258,4762.0,19.27,18598.0,1780.0,17.0,-6.1396,19.808,-3.226,1420.0,,-2.554,-2.168,-3.212,-2.638
2025-04-06 12:00:00,-0.081,331.0576,5.0682,,501.9054,2.3368,1.9172,1.5574,,,,,,,,,,,,,,7.3712,2.29,-2.348,16.2282,47.9202,53.92,-3.742,-2.41,18.06,8730.0,19.32,900.0,15.6,13.562,1400.0,0.0,-1.156,15.902,1520.0,,11.264,5.554,40.816,,17.87,20.37,17.392,,760.0,5278.0,1354.0,16.43,17.382,,2560.0,,1.618,,17.15,15.4,816.0,616.0,-1.57,-1.284,233.3134,16.3,21.614,19.22,2980.0,11310.0,18.2,21.112,2242.0,20.77,51920.0,-0.188,19.656,2444.0,-1.276,4820.0,19.264,18648.0,1780.0,17.0,-6.1618,19.782,-3.232,1420.0,-3.245,-2.556,-2.168,-3.222,-2.698
