,080581-002-ANA006,081419-003-ANA005,082687-001-ANA015,083036-001-ANA023,170600-001-ANA021,171899-003-ANA007,250753-004-ANA010,430430-001-ANA002,430496-001-ANA001,430537-001-ANA006,CALC000004,CALC000005,CALC000041,CALC000046,CALC000092,CALC000103,CALC000108,CALC000120,CALC000123,CALC000125,CALC000126,CALC000143,CALC000145,CALC000152,CALC000713,CALC000722,CALC000735,CALC000698,CALC000697,CALC000699,171169-001-ANA009,CALC000168,CALC000158
2025-04-08 18:00:00,100.49,791.961,629.33,416.4088,151.92,188.301,526.06,82.92,467.86,212.59,3.737,39.757,99.893,65.069,1.204,2.007,2.92,54.887,2.997,24.525,1.075,83.984,120.7378,73.0594,97.784,57.4,78.425,45.708,107.005,19.12,322.6298,44.7428,104.4292
2025-04-08 12:00:00,100.48,791.921,629.33,416.4698,151.92,188.061,526.058,82.9128,467.86,212.58,3.73,39.757,99.9572,65.069,1.203,2.005,2.917,54.831,2.997,24.525,1.001,78.203,121.036,73.2398,97.784,57.305,78.4144,45.632,107.005,19.1174,322.4796,44.5372,103.9498
2025-04-08 06:00:00,100.4816,791.87,629.35,416.4332,151.92,188.191,526.0428,82.9036,467.85,212.57,3.7312,39.757,100.0162,65.069,1.2012,2.0018,2.914,54.774,2.994,24.501,1.041,81.328,120.8572,73.1314,97.85,57.184,78.3362,45.536,107.077,19.0984,322.4546,44.503,103.87
2025-04-08 00:00:00,100.5128,791.829,629.36,416.4468,151.91,188.0796,526.03,82.9042,467.84,212.55,3.7528,39.729,100.374,65.023,1.201,2.002,2.908,54.662,2.991,24.476,1.0066,78.6408,120.924,73.1722,97.883,57.087,78.273,45.458,107.113,19.083,322.343,44.3504,103.5142
2025-04-07 18:00:00,100.5106,791.789,629.36,416.521,151.91,188.221,526.02,82.8956,467.83,212.54,3.7514,39.729,100.455,65.023,1.2,2.0,2.905,54.605,2.988,24.452,1.05,82.031,121.287,73.392,97.883,56.992,78.224,45.383,107.113,19.071,322.1336,44.0646,102.8462
2025-04-07 12:00:00,100.5098,791.75,629.37,416.575,151.88,188.171,526.01,82.8884,467.82,212.53,3.7508,39.647,100.4812,64.889,1.198,1.997,2.902,54.549,2.985,24.427,1.035,80.859,121.5522,73.552,97.916,56.899,78.171,45.309,107.149,19.058,321.9814,43.8568,102.3618
2025-04-07 06:00:00,100.4984,791.711,629.3894,416.5198,151.88,188.291,526.0008,82.8818,467.81,212.514,3.7428,39.647,100.4972,64.889,1.1972,1.9954,2.8972,54.4584,2.982,24.403,1.072,83.75,121.2812,73.3882,97.979,56.808,78.1252,45.236,107.2188,19.047,321.9708,43.8426,102.3284
2025-04-07 00:00:00,100.5202,791.68,629.39,416.5548,151.88,188.1168,525.99,82.8692,467.8,212.51,3.7582,39.647,100.588,64.889,1.195,1.992,2.896,54.436,2.979,24.378,1.018,79.5312,121.453,73.4922,97.981,56.735,78.072,45.178,107.221,19.034,321.8336,43.6588,101.8994
2025-04-06 18:00:00,100.52,791.64,629.41,416.5892,151.87,188.3018,525.98,82.8572,467.79,212.5,3.758,39.62,100.588,64.845,1.1926,1.9876,2.893,54.38,2.976,24.354,1.0754,84.0154,121.6216,73.5942,98.047,56.641,78.023,45.103,107.293,19.022,321.6996,43.479,101.48
2025-04-06 12:00:00,100.5004,791.6,629.4114,416.5582,151.87,188.1918,525.97,82.844,467.78,212.4888,3.7442,39.62,100.631,64.845,1.19,1.983,2.8896,54.3156,2.973,24.329,1.0414,81.3592,121.4696,73.5022,98.0516,56.547,77.974,45.028,107.298,19.01,321.692,43.469,101.456
2025-04-06 06:00:00,100.51,791.56,629.44,416.5036,151.849,188.2734,525.96,82.8356,467.77,212.47,3.751,39.5622,100.6524,64.7498,1.189,1.982,2.884,54.211,2.97,24.304,1.067,83.3594,121.2018,73.3398,98.146,56.452,77.925,44.953,107.401,18.998,321.692,43.469,101.456
2025-04-06 00:00:00,100.53,791.52,629.45,416.4452,151.84,188.3318,525.94,82.823,467.76,212.46,3.765,39.538,100.7112,64.71,1.186,1.977,2.881,54.154,2.967,24.28,1.0844,84.7192,120.9158,73.167,98.179,56.358,77.822,44.878,107.437,18.973,321.6908,43.4674,101.4522
2025-04-05 18:00:00,100.5288,791.48,629.47,416.3842,151.84,188.391,525.93,82.8082,467.75,212.44,3.7642,39.538,100.6312,64.71,1.1838,1.9728,2.875,54.041,2.964,24.255,1.103,86.172,120.6176,72.9866,98.245,56.264,77.773,44.803,107.509,18.961,321.6826,43.4562,101.4264
2025-04-05 12:00:00,100.51,791.44,629.49,416.3294,151.83,188.169,525.91,82.7946,467.739,212.42,3.751,39.511,100.588,64.666,1.181,1.968,2.869,53.929,2.9606,24.2276,1.0344,80.8122,120.35,72.8246,98.31,56.171,77.674,44.729,107.581,18.937,321.705,43.486,101.497
2025-04-05 06:00:00,100.5018,791.4,629.5,416.2742,151.8,188.2564,525.89,82.7796,467.72,212.41,3.745,39.429,100.588,64.532,1.1786,1.9642,2.866,53.872,2.955,24.182,1.0612,82.9062,120.0806,72.6618,98.343,56.077,77.576,44.654,107.617,18.913,321.7022,43.4824,101.4882
2025-04-05 00:00:00,100.52,791.37,629.52,416.2146,151.8,188.1426,525.87,82.762,467.71,212.39,3.758,39.429,100.6096,64.532,1.175,1.958,2.86,53.759,2.952,24.157,1.0262,80.1718,119.7904,72.4862,98.409,56.007,77.473,44.598,107.689,18.888,321.7188,43.5042,101.5396
2025-04-04 18:00:00,100.52,791.3356,629.54,416.152,151.79,188.1124,525.86,82.7456,467.6904,212.37,3.758,39.402,100.5988,64.488,1.172,1.953,2.854,53.647,2.946,24.108,1.0164,79.4062,119.4854,72.3014,98.476,55.9266,77.424,44.5346,107.762,18.876,321.725,43.513,101.559
2025-04-04 12:00:00,100.51,791.3,629.55,416.082,151.79,188.2254,525.85,82.7302,467.68,212.35,3.751,39.402,100.5026,64.488,1.169,1.948,2.848,53.534,2.943,24.083,1.0514,82.1406,119.1448,72.0954,98.509,55.843,77.375,44.468,107.798,18.864,321.705,43.486,101.497
2025-04-04 06:00:00,100.5102,791.2704,629.56,416.0254,151.76,188.3288,525.84,82.7134,467.67,212.34,3.751,39.32,100.5294,64.354,1.166,1.943,2.845,53.477,2.94,24.059,1.0836,84.6566,118.8706,71.9294,98.542,55.7738,77.326,44.4128,107.834,18.852,321.7008,43.4806,101.4836
2025-04-04 00:00:00,100.5244,791.2324,629.538,416.0012,151.76,188.2124,525.83,82.6902,467.66,212.31,3.7612,39.32,100.6204,64.354,1.1622,1.9368,2.836,53.308,2.937,24.034,1.0476,81.8438,118.7536,71.8586,98.4692,55.6858,77.276,44.3426,107.7546,18.84,321.666,43.434,101.375
2025-04-03 18:00:00,100.5214,791.18,629.52,415.9354,151.75,188.281,525.81,82.668,467.64,212.2956,3.759,39.292,100.6204,64.308,1.158,1.93,2.8318,53.2292,2.931,23.985,1.069,83.516,118.4344,71.6656,98.409,55.564,77.178,44.246,107.689,18.816,321.6586,43.4242,101.3516
2025-04-03 12:00:00,100.51,791.1204,629.5,415.8718,151.75,188.3268,525.8,82.6436,467.6272,212.28,3.751,39.292,100.5772,64.308,1.1536,1.9226,2.828,53.158,2.9272,23.9544,1.083,84.6096,118.1268,71.4794,98.343,55.426,77.129,44.1358,107.617,18.804,321.64,43.399,101.293
